ID_venta,Nombre_cliente,Email,Ciudad,Producto,Categoría,Fecha_venta,Monto
39,Julio Viera,aromero@lugo-orellana.biz,Vieja Estados Unidos de América,Laptop,Electrónica,2025-02-25,20184.63
40,Mercedes Anaya,yolanda62@yahoo.com,Nueva Liberia,Monitor,Electrónica,2025-06-29,6913.2
41,Sr(a). Armando Porras,decheverria@club.com,San Juan los bajos,Teclado,Accesorios,2025-04-24,22854.46
42,Ariadna Mariano Almaraz Tirado,esparta10@gutierrez.com,Nueva Camerún,Disco duro externo,Almacenamiento,2025-05-14,21946.28
43,Ramón Gamez Rivero,daniela99@hotmail.com,Nueva India,Silla ergonómica,Oficina,2024-12-23,5551.88
44,Sr(a). Hugo Velásquez,efarias@hotmail.com,Nueva Trinidad y Tabago,Router,Redes,2025-03-09,10072.11
45,Sr(a). Raúl Arguello,enevarez@hotmail.com,San Adán los bajos,Router,Redes,2025-05-21,3828.93
46,Magdalena Nájera Rico,udel-valle@industrias.biz,San Irene de la Montaña,Audífonos,Accesorios,2024-12-15,6391.7
47,María del Carmen Federico Rivera Vargas,alicia75@gmail.com,San Eric los bajos,Cámara web,Accesorios,2025-02-20,13612.74
48,Gilberto Rubén Leal Valadez,arturoguardado@saenz.info,San Marisol de la Montaña,Disco duro externo,Almacenamiento,2024-12-18,10882.32
49,Estela Leticia Guerrero Malave,huribe@yahoo.com,San Paulina los bajos,Disco duro externo,Almacenamiento,2025-03-28,10165.19
50,Genaro Malave,carlaespinoza@yahoo.com,Nueva Egipto,Teclado,Accesorios,2025-02-04,24933.95
51,Gerónimo Villalpando,esquibelgustavo@gmail.com,San Diego los bajos,Audífonos,Accesorios,2024-11-17,12885.3
52,Dr. Gerardo Armenta,carmen71@vela.info,San Marcos los bajos,Smartphone,Electrónica,2025-01-22,18967.82
53,Flavio Romo Carrera,esalazar@coronado.org,San Arturo de la Montaña,Smartphone,Electrónica,2024-12-28,4075.18
54,Lic. Samuel Ybarra,craya@proyectos.org,Nueva Eslovaquia,Audífonos,Accesorios,2025-07-12,19864.36
55,Gabino Virginia Bonilla,deboraurias@cortez-acevedo.biz,San Rosario los bajos,Monitor,Electrónica,2025-03-05,15031.3
56,Esther Lomeli Leyva,gonzalezgabino@hotmail.com,Vieja Burundi,Monitor,Electrónica,2025-06-11,9726.0
57,Vicente Conchita Jáquez,balderasdaniel@industrias.com,San Hernán los altos,Router,Redes,2025-04-17,13369.12
58,Mónica Paola Salcido Quezada,preciadoirene@despacho.org,Vieja República Dominicana,Cámara web,Accesorios,2024-11-27,21561.26
59,Mariano Norma Quintanilla,rociopulido@hotmail.com,San Aurora los bajos,Laptop,Electrónica,2025-03-27,17103.0
60,Isabela Mayorga,isaacpatino@lomeli.net,Vieja Bolivia,Smartphone,Electrónica,2025-03-14,17138.25
61,Irene Camilo Páez Serrano,dpedraza@industrias.info,Nueva Ghana,Cámara web,Accesorios,2025-06-13,18846.68
62,Graciela Marcela Rubio,grijalvacristobal@industrias.com,Nueva Montenegro,Silla ergonómica,Oficina,2024-12-27,3055.34
63,Modesto Guillermo Saucedo,erosas@gmail.com,San Pedro de la Montaña,Monitor,Electrónica,2025-04-09,4206.5
64,Rufino Nancy Chacón,linda58@proyectos.org,San Conchita los bajos,Laptop,Electrónica,2025-06-09,23859.25
65,Jaime Mercado,mmedina@hotmail.com,Vieja ex República Yugoslava de Macedonia,Impresora,Oficina,2025-04-20,24305.64
66,Ilse Rojas Olivárez,miguel-angelarce@gmail.com,San Benito los bajos,Audífonos,Accesorios,2024-12-20,12839.74
67,Lic. Adela Colón,antoniorodarte@yahoo.com,San Sofía los altos,Smartphone,Electrónica,2025-04-15,21801.81
68,Isaac Tejeda Olivares,ctoro@hotmail.com,Nueva Seychelles,Impresora,Oficina,2025-03-03,21089.23
69,Aurora Manuel Calvillo,sde-la-cruz@despacho.com,San José Luis los bajos,Cámara web,Accesorios,2025-01-07,15341.56
70,Olga Lilia Valles,deliaberrios@guajardo.com,Vieja Singapur,Audífonos,Accesorios,2025-02-18,9535.67
71,Florencia Aguirre,zoe82@gmail.com,San Jaime los altos,Audífonos,Accesorios,2025-03-08,13622.66
72,Fidel Reyes,juan-carlosrosas@gmail.com,Vieja República Democrática Popular Lao,Cámara web,Accesorios,2025-03-31,22986.79
73,Mtro. Gustavo Alonzo,abril90@hotmail.com,San Gonzalo de la Montaña,Disco duro externo,Almacenamiento,2025-07-05,8306.65
74,Estefanía Teresa Espinal Henríquez,arenashoracio@aponte.com,Vieja Irlanda,Laptop,Electrónica,2025-04-22,3063.13
75,Elvira César Tirado,daniel47@yahoo.com,San Camila los bajos,Silla ergonómica,Oficina,2024-12-11,22004.43
76,Espartaco Zoé Osorio,ortegaadela@yahoo.com,Vieja Kirguistán,Impresora,Oficina,2025-02-21,6214.47
77,Lic. Teodoro Nieto,marianaalvarado@garcia-barajas.info,San Violeta los bajos,Teclado,Accesorios,2024-12-27,21986.84
78,Amalia Alfonso Maestas,calderoneugenio@hotmail.com,Vieja Mónaco,Smartphone,Electrónica,2025-04-05,2415.64
79,Lic. Rodrigo Correa,saizsergio@yahoo.com,San Alonso los altos,Router,Redes,2025-04-04,20455.77
80,María María Gracia,nazariopamela@hotmail.com,San Anel los bajos,Cámara web,Accesorios,2025-02-27,19216.11
81,Carlos María Elena Bustos,arteagaisabela@grupo.com,Nueva ex República Yugoslava de Macedonia,Audífonos,Accesorios,2025-03-19,16595.85
82,Rubén Abelardo Lebrón,paolahenriquez@despacho.com,San Eva los altos,Cámara web,Accesorios,2025-03-17,4378.64
83,Delia Jaimes Ávila,hsotelo@rolon-rangel.com,Vieja Omán,Cámara web,Accesorios,2025-02-06,21849.1
84,Sr(a). Victoria Soliz,dangulo@yahoo.com,San Luis los altos,Monitor,Electrónica,2024-12-23,24119.76
85,María Benavides,sandra21@corporacin.com,San Rubén los altos,Cámara web,Accesorios,2025-03-06,18955.05
86,Natalia Zedillo,carrerovanesa@hotmail.com,Vieja Micronesia,Teclado,Accesorios,2025-02-08,17909.84
87,Ivonne Rendón,ucadena@yahoo.com,San Wendolin los bajos,Monitor,Electrónica,2025-04-06,24880.19
88,Mario Ángel Bustos,preciadobeatriz@cedillo-valadez.org,San Yuridia de la Montaña,Silla ergonómica,Oficina,2025-04-20,11121.07
89,Wendolin Luisa Ávalos Loera,bernardo98@gmail.com,Vieja Estonia,Cámara web,Accesorios,2024-12-24,11451.71
90,Pilar José Carlos Carrero Leiva,xvalentin@jaramillo.com,San Horacio los bajos,Teclado,Accesorios,2025-03-28,5850.02
91,Dolores Collazo Valles,colladotania@gmail.com,Nueva Kuwait,Silla ergonómica,Oficina,2025-04-24,819.55
92,Jacinto Cotto,irma99@gmail.com,Nueva Congo,Cámara web,Accesorios,2025-07-09,5983.83
93,Zeferino Bonilla Jurado,mruelas@yahoo.com,San Georgina de la Montaña,Teclado,Accesorios,2025-05-29,477.61
94,Jaime Posada Carranza,qsoto@yahoo.com,Nueva Libia,Laptop,Electrónica,2025-07-02,5954.86
95,Abraham Flores Madera,florencialongoria@casares-aguilar.biz,Nueva Lesotho,Laptop,Electrónica,2025-06-06,21532.99
96,Mónica Rafaél Moreno,barias@rico.com,San Renato los bajos,Smartphone,Electrónica,2025-04-23,12999.66
97,Camila Leticia Alonso Meléndez,fnajera@caraballo.org,San Ofelia de la Montaña,Impresora,Oficina,2025-04-14,16823.75
98,Ivonne Estela Merino de la Garza,tameznayeli@proyectos.com,Nueva Chipre,Teclado,Accesorios,2025-02-19,13619.08
99,Débora Salvador Corral,soledadsalcido@valle.org,San Soledad los bajos,Disco duro externo,Almacenamiento,2025-01-09,14532.43
100,Ángel Rodarte,gerardo90@yahoo.com,Vieja Montenegro,Teclado,Accesorios,2025-05-06,19680.1
101,Ana Luisa Negrete Llamas,villegasnatividad@rios.com,San Reina los altos,Monitor,Electrónica,2025-01-24,5003.12
102,Salma Martín Sánchez Corona,zcandelaria@bravo-santana.com,Nueva Turquía,Smartphone,Electrónica,2025-05-01,16576.87
103,Ofelia Solorzano,jose-emilio46@mireles.com,Vieja Botswana,Silla ergonómica,Oficina,2025-06-16,10762.39
104,Gloria Hernádez,ariadna92@marin-orosco.org,Vieja República de Corea,Router,Redes,2025-04-07,21636.77
105,Carolina Yuridia Soto Cabán,aida54@gmail.com,Vieja Niger,Laptop,Electrónica,2025-01-25,16932.1
106,Citlali Cristal Bernal,sarabiapaola@hotmail.com,Vieja San Vicente y las Granadinas,Smartphone,Electrónica,2025-01-01,1797.13
107,Lic. Cristian Curiel,marcelaarmas@nava.org,San Marisol de la Montaña,Silla ergonómica,Oficina,2025-06-07,20074.64
108,Horacio Mariano Esquibel,xriojas@yahoo.com,San Nadia los altos,Smartphone,Electrónica,2025-04-23,6441.81
109,Elvira Salma Chavarría,rosalesjose-emilio@hotmail.com,Nueva Guinea,Teclado,Accesorios,2024-12-14,13546.26
110,Georgina María del Carmen Serna,obustos@montes.com,San Nadia los bajos,Audífonos,Accesorios,2025-02-11,10720.48
111,Ariadna Noriega,matosberta@concepcion-chapa.com,San Clara los altos,Impresora,Oficina,2025-05-13,11726.91
112,Sergio Adame,hidalgoesmeralda@industrias.com,San Eva los bajos,Smartphone,Electrónica,2024-12-29,11245.33
113,Evelio Perea Reyna,sanabriaruben@serrato.com,Vieja Mali,Cámara web,Accesorios,2024-11-12,2718.35
114,Mtro. Fabiola Vásquez,wendolinbriones@hotmail.com,San Ángel los altos,Cámara web,Accesorios,2025-06-11,20949.88
115,Ing. Perla Almonte,oarmas@yahoo.com,San Flavio los altos,Smartphone,Electrónica,2024-11-18,23181.26
116,Ángel Jaime Guajardo Cano,alvaromora@hotmail.com,San Trinidad de la Montaña,Teclado,Accesorios,2025-05-11,4407.88
117,Susana Echeverría,reynaalejandro@grupo.com,San Noelia los bajos,Router,Redes,2025-06-10,12189.55
118,Flavio Arce,jonas05@despacho.info,San Ivonne de la Montaña,Monitor,Electrónica,2025-05-23,22590.34
119,José Carlos Solano,pinedaarcelia@yahoo.com,Vieja Iraq,Audífonos,Accesorios,2024-12-21,9660.64
120,Itzel Lucero Malave,sde-la-cruz@yahoo.com,San Marisela de la Montaña,Monitor,Electrónica,2025-03-28,6850.52
121,Lic. Gerardo Báez,gnarvaez@despacho.info,Nueva Belarús,Router,Redes,2025-02-11,7345.66
122,Jos Juan Carlos Valverde Apodaca,xnevarez@bermudez.net,San Leonel los bajos,Cámara web,Accesorios,2025-02-28,16648.22
123,Camila Aldonza Escamilla,hvalenzuela@yahoo.com,San Marisela de la Montaña,Router,Redes,2025-07-07,4123.48
124,Mitzy Elvira Casillas Cervántez,tde-leon@brito.com,Vieja Haití,Impresora,Oficina,2025-01-12,5677.21
125,Jos Nancy Garrido,claragranado@alvarez.org,San Mayte los altos,Laptop,Electrónica,2025-01-01,14605.75
126,Sr(a). Andrés Mares,asotelo@yahoo.com,Nueva Irán,Cámara web,Accesorios,2024-12-10,1805.65
127,Martha Sierra,pedrovillagomez@gmail.com,Vieja Omán,Silla ergonómica,Oficina,2024-12-03,1711.98
128,Norma Corral Maestas,irenegarza@solano-limon.com,San Elsa los altos,Disco duro externo,Almacenamiento,2025-06-13,12076.68
129,Carmen Socorro Madrigal Tejeda,rosaliavera@grupo.org,Nueva Benin,Cámara web,Accesorios,2024-11-29,4188.59
130,Mtro. Uriel Gaitán,salinassoledad@hotmail.com,San Tomás los bajos,Cámara web,Accesorios,2025-05-18,2278.75
131,Leticia Héctor Rendón,cottomarcos@roybal.com,Vieja Ucrania,Audífonos,Accesorios,2025-03-16,1992.48
132,Leonor Catalina Nevárez Serrato,fabiola71@club.com,San Juan Carlos los altos,Smartphone,Electrónica,2025-04-23,16977.75
133,Cristobal Itzel Vélez,cristobalsamaniego@hotmail.com,San Modesto los bajos,Teclado,Accesorios,2025-05-24,10273.26
134,Aurora Orozco Santiago,esmeraldavergara@yahoo.com,Nueva Guinea,Disco duro externo,Almacenamiento,2025-05-23,6381.52
135,Lic. Gonzalo Terán,pradocecilia@laboratorios.com,San Amelia los altos,Disco duro externo,Almacenamiento,2025-06-18,1281.62
136,Jos Perla Lomeli,csantana@proyectos.biz,San Ivonne los altos,Smartphone,Electrónica,2025-04-02,10654.86
137,Elvia Salvador Saucedo,armentaalfonso@gmail.com,San Mario los altos,Disco duro externo,Almacenamiento,2025-05-08,14261.11
138,Samuel Noelia Cintrón,dalia69@hotmail.com,San Rosalia los bajos,Silla ergonómica,Oficina,2025-05-28,23387.24
139,Ing. Minerva Valladares,xalfaro@yahoo.com,Vieja República Popular Democrática de Corea,Teclado,Accesorios,2025-03-11,16842.23
140,Rubén Rojo Jaimes,vergaramauro@industrias.com,Nueva Ecuador,Silla ergonómica,Oficina,2024-11-19,6195.54
141,Humberto Peralta,afigueroa@banuelos.com,San Wilfrido los bajos,Monitor,Electrónica,2025-06-04,3532.69
142,Humberto Delgadillo,patricio54@hotmail.com,San Elisa de la Montaña,Impresora,Oficina,2025-02-28,11593.45
143,Mtro. Espartaco Luevano,minervamateo@yahoo.com,San Rafaél los altos,Smartphone,Electrónica,2025-02-26,530.09
144,Carlos Renato Tórrez Ojeda,clemente40@yahoo.com,Vieja Mauritania,Disco duro externo,Almacenamiento,2025-02-19,24961.82
145,Ernesto Ferrer,citlali19@hotmail.com,Nueva Azerbaiyán,Smartphone,Electrónica,2025-06-06,2109.54
146,Teodoro Eugenia Ávila,tmenendez@camarillo.net,Vieja Sudán,Teclado,Accesorios,2025-05-15,12795.35
147,Uriel Feliciano,gonzalo01@hotmail.com,Nueva Cuba,Audífonos,Accesorios,2025-04-23,23351.51
148,Alejandro Leonel Saldivar,alfonso04@meza-linares.info,San Cecilia los altos,Smartphone,Electrónica,2025-05-12,22017.97
149,Elisa Bruno Menéndez Curiel,eduardo05@yahoo.com,Nueva Santa Lucía,Silla ergonómica,Oficina,2025-04-18,7339.19
150,Noelia Menchaca,lcadena@club.com,San Juan Carlos de la Montaña,Router,Redes,2025-05-04,20893.5
151,Isaac Hermelinda Verduzco Vega,ursula53@casanova.com,Vieja Timor-Leste,Impresora,Oficina,2025-05-26,15408.44
152,Caridad Timoteo Lucero Nazario,ceciliaromo@club.biz,San Pablo los altos,Cámara web,Accesorios,2025-02-04,493.23
153,Rubén Ariadna Sotelo,araceli91@gmail.com,Nueva Côte d'Ivoire,Cámara web,Accesorios,2025-03-19,7694.66
154,Lic. Camilo Flórez,segoviamarisela@gmail.com,San César los altos,Smartphone,Electrónica,2025-04-22,23491.57
155,Ramón Baeza,agustin64@gmail.com,Nueva Austria,Audífonos,Accesorios,2025-04-25,6832.31
156,Andrea Patricia Balderas Barrientos,llamaslucas@gmail.com,Vieja Kiribati,Smartphone,Electrónica,2025-04-09,18637.69
157,José María Núñez,ursulamontero@dominguez-terrazas.biz,Nueva Afganistán,Audífonos,Accesorios,2024-11-20,7027.0
158,Marisol Zacarías Tovar Pineda,fernandorincon@yahoo.com,Vieja Ecuador,Disco duro externo,Almacenamiento,2024-12-25,5502.55
159,Virginia Perea Alemán,angelcampos@ramon.com,Nueva Liechtenstein,Silla ergonómica,Oficina,2025-05-01,5328.85
160,Paola Esteban Badillo,eugenia95@granado-madrid.net,Vieja Haití,Impresora,Oficina,2025-02-26,12783.6
161,Porfirio Villareal del Río,warreola@hotmail.com,San Ofelia los bajos,Impresora,Oficina,2025-04-22,22661.81
162,Conchita Macías,pablorojas@gmail.com,Vieja Turquía,Laptop,Electrónica,2025-01-07,2579.77
163,Ana Luisa Valenzuela,hvaldes@gmail.com,San Federico los bajos,Monitor,Electrónica,2025-01-29,20784.9
164,Vicente Arcelia Rascón Nevárez,ameliajasso@zedillo.com,Nueva Nauru,Laptop,Electrónica,2025-02-01,387.58
165,Hernán Adela Galarza Espinal,sguerra@club.com,San Juan los bajos,Audífonos,Accesorios,2025-06-07,16036.7
166,Homero Francisca Murillo Serna,zcalvillo@hotmail.com,San Indira de la Montaña,Impresora,Oficina,2025-04-04,4291.07
167,Liliana Amalia Valladares García,ibarraperla@lucero.com,Vieja República Democrática del Congo,Router,Redes,2025-02-15,13926.51
168,Paulina Miranda,dsalas@gmail.com,San Darío de la Montaña,Monitor,Electrónica,2025-06-12,14154.4
169,Dulce María Torres,benavidezyolanda@aguayo.com,Nueva Turquía,Smartphone,Electrónica,2025-01-09,2158.52
170,Esteban Santiago Reséndez,rosasvictoria@yahoo.com,Nueva Polonia,Audífonos,Accesorios,2025-06-14,13776.08
171,Adán Alfaro,adriana86@gmail.com,Nueva Paraguay,Silla ergonómica,Oficina,2025-01-08,14687.99
172,Elisa Silvano Soto,gabriela61@yahoo.com,San María Luisa los altos,Audífonos,Accesorios,2025-02-14,10915.73
173,Helena Ariadna Aparicio,yojeda@badillo.com,Vieja Marruecos,Laptop,Electrónica,2025-03-20,7913.98
174,Sr(a). Óliver Arias,raquelroldan@despacho.org,Nueva Indonesia,Laptop,Electrónica,2024-11-18,22503.44
175,Rodrigo Claudio Otero,dalia93@toledo.com,Vieja Bahamas,Teclado,Accesorios,2024-12-19,17147.05
176,Esther Benítez,bmena@hotmail.com,San María del Carmen los bajos,Smartphone,Electrónica,2025-02-08,9035.86
177,Perla José Manuél Preciado Escamilla,lucerofernando@hotmail.com,Nueva Ghana,Cámara web,Accesorios,2025-01-10,22138.13
178,Tania Corrales,jorge-luis11@gmail.com,San María los bajos,Monitor,Electrónica,2025-02-24,24353.77
179,César Brito Escobar,jvaldes@hotmail.com,San Benjamín de la Montaña,Audífonos,Accesorios,2024-12-16,23166.37
180,Perla Aurelio Zambrano Zamora,salcala@yahoo.com,San Arturo los altos,Teclado,Accesorios,2025-06-17,21655.76
181,Reina Nicolás de la O,clarajimenez@yahoo.com,San Miguel de la Montaña,Audífonos,Accesorios,2024-12-06,22070.98
182,Manuel Gerónimo Pérez,xbermudez@yahoo.com,Vieja Rwanda,Laptop,Electrónica,2025-07-09,4730.21
183,María José Bernabé Cervántez,ortizisabela@hotmail.com,San Isaac los bajos,Silla ergonómica,Oficina,2025-03-21,19624.95
184,Uriel Villegas,ines93@martinez.com,San Tania los bajos,Monitor,Electrónica,2025-06-23,20115.21
185,Irma José Manuél León,camila93@hotmail.com,Nueva Uzbekistán,Teclado,Accesorios,2025-05-10,6890.1
186,Marcela Guillermo Barrientos,ochavez@yahoo.com,Vieja Sudán del Sur,Smartphone,Electrónica,2025-01-10,9748.78
187,José María Benavides,zverduzco@hotmail.com,San Pamela de la Montaña,Laptop,Electrónica,2025-03-31,21507.25
188,Ing. Teodoro Briones,victormota@laboratorios.biz,San Luis Manuel de la Montaña,Teclado,Accesorios,2024-11-16,5229.45
189,Francisco Javier Garibay Segovia,znoriega@villalobos.com,Vieja Brunei Darussalam,Router,Redes,2025-03-06,8936.56
190,Arturo Carrillo,hugo57@industrias.info,Vieja Uganda,Teclado,Accesorios,2025-05-06,5806.21
191,Ángel Helena Armendáriz Carrero,vicente12@industrias.com,San Rafaél los bajos,Teclado,Accesorios,2025-05-10,10142.11
192,Leticia Sonia Enríquez,bortiz@club.biz,Nueva Eritrea,Impresora,Oficina,2025-02-28,21649.52
193,Reynaldo Canales Terán,irma37@iglesias-saiz.net,San Rubén los bajos,Impresora,Oficina,2025-07-07,8973.31
194,Rodrigo Carrera,maria-jose92@hotmail.com,San Sessa los altos,Cámara web,Accesorios,2024-12-14,10172.06
195,Humberto Caridad Griego,elizondojose-luis@hotmail.com,Vieja Malawi,Cámara web,Accesorios,2025-07-01,8479.4
196,René Juan Carlos Piña,sterrazas@industrias.com,Nueva Indonesia,Laptop,Electrónica,2025-05-06,3148.94
197,Sr(a). Jorge Aguirre,eloisaolivo@hotmail.com,San Lucas los altos,Impresora,Oficina,2025-05-21,4710.63
198,María Sáenz,vallejoalta-gracia@corporacin.com,San Darío los bajos,Impresora,Oficina,2025-06-19,1244.95
199,Paulina Segura,jassopamela@torres-arguello.info,Vieja Brunei Darussalam,Disco duro externo,Almacenamiento,2025-02-16,11033.72
200,Alonso María del Carmen Irizarry Montero,xcarvajal@grupo.org,San Daniel los altos,Silla ergonómica,Oficina,2025-01-05,11078.93
201,Emiliano Ana María Vargas,ruben82@yahoo.com,San Gregorio los altos,Cámara web,Accesorios,2025-02-23,3156.45
202,Sr(a). Celia Patiño,vanesa22@grupo.biz,San Claudia los altos,Disco duro externo,Almacenamiento,2025-02-24,4994.95
203,José Manuél Razo,padronnoelia@laboratorios.com,Nueva Vanuatu,Laptop,Electrónica,2025-05-09,17807.0
204,Andrea Oswaldo Otero Gamez,miguel-angeljasso@yahoo.com,San Iván los altos,Laptop,Electrónica,2025-06-24,13142.03
205,Raúl Mercedes Montalvo,camachosocorro@aleman.com,San María Eugenia de la Montaña,Cámara web,Accesorios,2025-04-27,17265.37
206,César Violeta Madrid,aurelio54@nieto-de.com,San Socorro los bajos,Teclado,Accesorios,2025-02-10,9296.27
207,Vanesa Bustos,gallardomateo@centeno-villasenor.com,San Abril de la Montaña,Smartphone,Electrónica,2025-03-25,23737.2
208,Luisa Centeno Romo,juan-carlosburgos@candelaria-marroquin.com,San Citlali los bajos,Silla ergonómica,Oficina,2025-01-02,15691.94
209,Ángela Olga Valladares,marcosmontoya@laboratorios.org,San Esteban de la Montaña,Smartphone,Electrónica,2024-12-21,18077.93
210,Carlota Rolando Olivo,ymascarenas@gmail.com,Vieja Sri Lanka,Impresora,Oficina,2024-12-14,12825.93
211,Perla Ruby Zapata,maderaemiliano@hotmail.com,Vieja Guyana,Monitor,Electrónica,2024-12-03,8356.72
212,Miguel Ángel Judith Carreón,evillegas@muro.com,San Rebeca los bajos,Impresora,Oficina,2025-04-02,13993.99
213,Dr. Mariana Beltrán,alcarazfrida@despacho.net,San Soledad los altos,Teclado,Accesorios,2025-05-25,10685.02
214,Luisa Padilla,germanbotello@despacho.net,San Julio César los altos,Monitor,Electrónica,2024-12-07,17029.75
215,Marco Antonio Evelio Baeza Guevara,dcarrillo@mares.com,Nueva Turquía,Audífonos,Accesorios,2025-01-04,15503.22
216,Dalia Salgado Montenegro,jose-emiliocastro@hotmail.com,San Caridad de la Montaña,Impresora,Oficina,2025-03-22,10330.06
217,Georgina Soria,reynaldo17@segura.info,Vieja Congo,Laptop,Electrónica,2025-02-19,7805.71
218,Renato Carrillo Gil,alcalafelipe@rodriquez.biz,Nueva Armenia,Teclado,Accesorios,2025-06-14,10918.24
219,Esparta Medina,rmaya@vazquez-nieves.com,Nueva Estonia,Disco duro externo,Almacenamiento,2025-05-31,15284.54
220,Karla Barrientos Rivero,itzel18@yahoo.com,Vieja Emiratos Árabes Unidos,Silla ergonómica,Oficina,2025-03-05,11785.21
221,Mtro. Silvia Guerra,rosa73@hotmail.com,Nueva Albania,Router,Redes,2025-04-20,16987.99
222,Eugenia Toro Montemayor,abel64@florez-tamayo.com,San Mitzy de la Montaña,Cámara web,Accesorios,2025-01-06,11987.7
